layer_slug_s,b1g_code_s,dct_isPartOf_sm,b1g_status_s,suppressed_b,dc_subject_sm,b1g_dateAccessioned_s,dc_format_s,b1g_keyword_sm,layer_geom_type_s,dct_provenance_s,dct_accrualMethod_s,b1g_image_ss,dct_issued_s,dc_description_s,dc_identifier_s,dct_accessRights_sm,dct_temporal_sm,b1g_date_range_drsim,solr_year_i,dc_rights_s,dct_alternativeTitle_sm,dc_language_sm,dc_title_s,dct_references_s,b1g_dateRetired_s,layer_id_s,b1g_child_record_b,dc_type_sm,dc_publisher_sm,b1g_centroid_ss,Place Names entered manually,Bounding Box,Place Name
f43e634628a7430aadbb877437405e11_0,04f-01,04f-01,Active,False,Transportation,6/11/2020,Shapefile,heliport|dvrpc|freight|philadelphia,Vector,University of Maryland,ArcGIS Hub,,5/26/2020,DVRPC heliports,https://hub.arcgis.com/datasets/f43e634628a7430aadbb877437405e11_0,,2020,[2020 TO 2020],2020,Public,DVRPC Heliports,English,Heliports: Delaware Valley,"{""http://schema.org/url"":""https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f43e634628a7430aadbb877437405e11_0"",""http://schema.org/downloadUrl"":""https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f43e634628a7430aadbb877437405e11_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://arcgis.dvrpc.org/portal/rest/services/Freight/heliport/FeatureServer/0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"39.94,-75.14","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.14,39.94,-75.14,39.94","Camden County, New Jersey|New Jersey|Philadelphia County, Pennsylvania|Pennsylvania"
2e9037fd5bef406488ffe5bb67d21312_0,04f-01,04f-01,Active,False,Transportation,10/11/2019,Shapefile,BSL|Highspeed|SEPTA|Stations|Transit,Vector,University of Maryland,ArcGIS Hub,,7/2/2018,Spring 2018 Broad Street Line Stations with Ridership. Station ridership data is from FY17 turn-style counts and excludes free interchange riders.,https://hub.arcgis.com/datasets/2e9037fd5bef406488ffe5bb67d21312_0,,2018,[2018 TO 2018],2018,Public,SEPTA - Broad Street Line Stations,English,SEPTA - Broad Street Line Stations: Delaware Valley Regional Planning Commission,"{""http://schema.org/downloadUrl"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/2e9037fd5bef406488ffe5bb67d21312_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services2.arcgis.com/9U43PSoL47wawX5S/arcgis/rest/services/Broad_Street_Line_Stations/FeatureServer/0"",""http://schema.org/url"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/2e9037fd5bef406488ffe5bb67d21312_0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"39.975,-75.155","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.17,39.91,-75.14,40.04","Philadelphia County, Pennsylvania|Pennsylvania"
c051c18bb15444b6861a93fd247dde3d_0,04f-01,04f-01,Active,False,Transportation,10/11/2019,Shapefile,BSL|Highspeed|Routes|SEPTA|Transit,Vector,University of Maryland,ArcGIS Hub,,7/2/2018,Spring 2018 Broad Street Line with Ridership. Route ridership and revenue information is from FY2017. Data is from SEPTA's Revenue & Ridership Department.,https://hub.arcgis.com/datasets/c051c18bb15444b6861a93fd247dde3d_0,,2018,[2018 TO 2018],2018,Public,SEPTA - Broad Street Line,English,SEPTA - Broad Street Line: Delaware Valley Regional Planning Commission,"{""http://schema.org/downloadUrl"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/c051c18bb15444b6861a93fd247dde3d_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services2.arcgis.com/9U43PSoL47wawX5S/arcgis/rest/services/Broad_Street_Line/FeatureServer/0"",""http://schema.org/url"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/c051c18bb15444b6861a93fd247dde3d_0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"39.975,-75.155","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.17,39.91,-75.14,40.04","Philadelphia County, Pennsylvania|Pennsylvania"
8c6e2575c8ad46eb887e6bb35825e1a6_0,04f-01,04f-01,Active,False,Transportation,10/11/2019,Shapefile,Highspeed|MFL|SEPTA|Stations|Transit,Vector,University of Maryland,ArcGIS Hub,,7/2/2018,Spring 2018 Market-Frankford Line Stations with Ridership. Station ridership data is from FY17 turn-style counts and excludes free interchange riders.,https://hub.arcgis.com/datasets/8c6e2575c8ad46eb887e6bb35825e1a6_0,,2018,[2018 TO 2018],2018,Public,SEPTA - Market-Frankford Line Stations,English,SEPTA - Market-Frankford Line Stations: Delaware Valley Regional Planning Commission,"{""http://schema.org/downloadUrl"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/8c6e2575c8ad46eb887e6bb35825e1a6_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services2.arcgis.com/9U43PSoL47wawX5S/arcgis/rest/services/Market_Frankford_Line_Stations/FeatureServer/0"",""http://schema.org/url"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/8c6e2575c8ad46eb887e6bb35825e1a6_0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"39.985,-75.17","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.26,39.95,-75.08,40.02","Montgomery County, Pennsylvania|Pennsylvania"
6f4ae63a492c407eb95a9e56a6750e7f_0,04f-01,04f-01,Active,False,Transportation,10/11/2019,Shapefile,SEPTA|Highspeed|MFL,Vector,University of Maryland,ArcGIS Hub,,7/2/2018,Spring 2018 Market Frankford Line with Ridership. Route ridership and revenue information is from FY2017. Data is from SEPTA's Revenue & Ridership Department.,https://hub.arcgis.com/datasets/6f4ae63a492c407eb95a9e56a6750e7f_0,,2018,[2018 TO 2018],2018,Public,SEPTA - Market Franford Line,English,SEPTA - Market Franford Line: Delaware Valley Regional Planning Commission,"{""http://schema.org/downloadUrl"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6f4ae63a492c407eb95a9e56a6750e7f_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services2.arcgis.com/9U43PSoL47wawX5S/arcgis/rest/services/Market_Franford_Line/FeatureServer/0"",""http://schema.org/url"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6f4ae63a492c407eb95a9e56a6750e7f_0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"39.99,-75.17","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.26,39.95,-75.08,40.03","Montgomery County, Pennsylvania|Pennsylvania"
10e1c2d6410b471c9c596fd95a8a8215_0,04f-01,04f-01,Active,False,Structure,10/11/2019,Shapefile,Structures|Building Footprints|Buildings|Building Heights,Vector,University of Maryland,ArcGIS Hub,,6/20/2017,"Planimetric Coverage containing the delineation of buildings or related structure outlines that represent the footprints of buildings within the City of Philadelphia. Outlines are based on imagery captured in early 2015. FEATURES DELINEATED:-Residential, commercial and industrial buildings-Isolated garages, mobile homes, sheds-Greenhouses and silos-Buildings under construction that at least have walls-Trailer boxes with windows or doorsData was captured from AccuPLUS Orthomosaic tiles created off PAPHIL15-LEAF-OFF imagery, flown by Pictometry.For more metadata details go here",https://hub.arcgis.com/datasets/10e1c2d6410b471c9c596fd95a8a8215_0,,2015,[2015 TO 2015],2015,Public,City of Philadelphia 2015 Building Footprints,English,City of Philadelphia 2015 Building Footprints: Delaware Valley Regional Planning Commission,"{""http://schema.org/downloadUrl"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/10e1c2d6410b471c9c596fd95a8a8215_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/LI_BUILDING_FOOTPRINTS/FeatureServer/0"",""http://schema.org/url"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/10e1c2d6410b471c9c596fd95a8a8215_0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"40.005,-75.12","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.28,39.87,-74.96,40.14",Pennsylvania|New Jersey
8e685b473f4045d899dce7896ee5923a_0,04f-01,04f-01,Active,False,Transportation,10/11/2019,Shapefile,Highspeed|NHSL|Routes|SEPTA|Transit,Vector,University of Maryland,ArcGIS Hub,,7/2/2018,Spring 2018 Norristown Highspeed Line with Ridership. Route ridership and revenue information is from FY2017. Data is from SEPTA's Revenue & Ridership Department.,https://hub.arcgis.com/datasets/8e685b473f4045d899dce7896ee5923a_0,,2018,[2018 TO 2018],2018,Public,SEPTA - Norristown Highspeed Line,English,SEPTA - Norristown Highspeed Line: Delaware Valley Regional Planning Commission,"{""http://schema.org/downloadUrl"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/8e685b473f4045d899dce7896ee5923a_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services2.arcgis.com/9U43PSoL47wawX5S/arcgis/rest/services/Norristown_Highspeed_Line/FeatureServer/0"",""http://schema.org/url"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/8e685b473f4045d899dce7896ee5923a_0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"40.035,-75.305","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.35,39.96,-75.26,40.11","Montgomery County, Pennsylvania|Pennsylvania"
f106f00a4ac34885ab35f4ebabb2aee0_0,04f-01,04f-01,Active,False,Transportation,10/11/2019,Shapefile,SEPTA|Highspeed|NHSL|Stations|Transit,Vector,University of Maryland,ArcGIS Hub,,7/2/2018,Fall 2017 Norristown Highspeed Line Stations with Ridership. Ridership contains Fall 2017 APC data where available. Ridecheck data has been used to supplement gaps in the APC data.,https://hub.arcgis.com/datasets/f106f00a4ac34885ab35f4ebabb2aee0_0,,2017,[2017 TO 2017],2017,Public,SEPTA - Norristown Highspeed Line Stations,English,SEPTA - Norristown Highspeed Line Stations: Delaware Valley Regional Planning Commission,"{""http://schema.org/downloadUrl"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f106f00a4ac34885ab35f4ebabb2aee0_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services2.arcgis.com/9U43PSoL47wawX5S/arcgis/rest/services/Norristown_Highspeed_Line_Stations/FeatureServer/0"",""http://schema.org/url"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/f106f00a4ac34885ab35f4ebabb2aee0_0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"40.035,-75.305","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.35,39.96,-75.26,40.11","Montgomery County, Pennsylvania|Pennsylvania"
6b5710b0f4ae49f0b4965f75e5b64865_0,04f-01,04f-01,Active,False,Transportation,6/11/2020,Shapefile,freight|dvrpc|rail|river crossing|bridges|philadelphia,Vector,University of Maryland,ArcGIS Hub,,5/26/2020,"Includes highway and rail river crossing inventory for the DVRPC region.The DVRPC Highway River Crossing data layer was developed to identify key bridges in the region that span major rivers and can be considered crucial to interstate commerce. These bridge were mapped as point features identifying the center point location of the facility. Additional inputs were on the facilities was based on Department of Transportation, Turnpike Commission and Bridge Commission data.The DVRPC Railroad River Crossing data layer was developed to identify key bridges in the region that span major rivers and can be considered crucial to interstate commerce. These bridge were mapped as point features identifying the center point location of the facility. Additional inputs were on the facilities was based on Department of Transportation and rail carrier data.",https://hub.arcgis.com/datasets/6b5710b0f4ae49f0b4965f75e5b64865_0,,2020,[2020 TO 2020],2020,Public,DVRPC River Crossings,English,River Crossings: Delaware Valley,"{""http://schema.org/url"":""https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6b5710b0f4ae49f0b4965f75e5b64865_0"",""http://schema.org/downloadUrl"":""https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/6b5710b0f4ae49f0b4965f75e5b64865_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://arcgis.dvrpc.org/portal/rest/services/Freight/river_crossings/FeatureServer/0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"40.045,-75.07","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.37,39.83,-74.77,40.26","Philadelphia County, Pennsylvania|Pennsylvania"
8aee4ea99d564e50b986e99a4669418a_0,04f-01,04f-01,Active,False,Transportation,10/11/2019,Shapefile,SEPTA|Stops|Transit|Trolley,Vector,University of Maryland,ArcGIS Hub,,7/11/2018,SEPTA Spring 2018 trolley stops with ridership. Ridership contains Spring 2018 APC data where available. Ridecheck data has been used to supplement gaps in the APC data.,https://hub.arcgis.com/datasets/8aee4ea99d564e50b986e99a4669418a_0,,2018,[2018 TO 2018],2018,Public,SEPTA - Trolley Stops,English,SEPTA - Trolley Stops: Delaware Valley Regional Planning Commission,"{""http://schema.org/downloadUrl"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/8aee4ea99d564e50b986e99a4669418a_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services2.arcgis.com/9U43PSoL47wawX5S/arcgis/rest/services/Trolley_Stops1/FeatureServer/0"",""http://schema.org/url"":""http://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/8aee4ea99d564e50b986e99a4669418a_0""}",,,False,Dataset|Service,Delaware Valley Regional Planning Commission,"39.94,-75.245","Delaware River, Delaware|Delaware|Philadelphia, Pennsylvania|Pennsylvania|Maryland|New Jersey","-75.39,39.9,-75.1,39.98",Pennsylvania|New Jersey
