layer_slug_s,b1g_code_s,dct_isPartOf_sm,b1g_status_s,suppressed_b,dc_subject_sm,b1g_dateAccessioned_s,dc_format_s,b1g_keyword_sm,layer_geom_type_s,dct_provenance_s,dct_accrualMethod_s,b1g_image_ss,dct_issued_s,dc_description_s,dc_identifier_s,dct_accessRights_sm,dct_temporal_sm,b1g_date_range_drsim,solr_year_i,dc_rights_s,dct_alternativeTitle_sm,dc_language_sm,dc_title_s,dct_references_s,b1g_dateRetired_s,layer_id_s,b1g_child_record_b,dc_type_sm,dc_publisher_sm,b1g_centroid_ss,Place Names entered manually,Bounding Box,Place Name
01b891ede4c34c828cf77926b40f9973_4,04a-01,04a-01,Active,False,Utilities and Communication,3/28/2019,Shapefile,Offshore Wind Energy Planning|Wind Data|Mean Wind Speed|Mean Annual Wind Speed|Power Density|Marine Jurisdictions|Waterbird Habitat|Waterbird Density|Offshore Wind Rose|MD iMAP|Maryland|Dynamic|WMS|WFS|KML|MD|Vector|Raster|Utility Telecom|UTIL|DNR,Vector,University of Maryland,ArcGIS Hub,,3/8/2016,"This is a MD iMAP hosted service layer. Find more information at http://imap.maryland.gov.The purpose of creating this file was to use MesoMap to create high-resolution wind maps of the state and to provide wind resource data in a format enabling the assessment of potential wind development sites in a GIS. By combining a sophisticated numerical weather model capable of simulating large-scale wind patterns with a microscale wind flow model responsive to local terrain and surface conditions, they enable the mapping of wind resources with much greater accuracy than has been possible in the past. In addition, they do not require surface wind data to make accurate predictions. While on-site measurements will be required to confirm the predicted wind resource at any particular location, mesoscale-microscale modeling can greatly reduce the time and cost required to identify and evaluate potential wind project sites. This map was created by AWS Truepower, LLC using the MesoMap system and historical weather data. Although it is believed to represent an accurate overall picture of the wind energy resource, estimates at any location should be confirmed by measurement.Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/UtilityTelecom/MD_OffshoreWindEnergyPlanning/FeatureServer/4",https://hub.arcgis.com/datasets/01b891ede4c34c828cf77926b40f9973_4,,2016.0,[2016 TO 2016],2016,Public,,English,Offshore Wind Energy Planning - Offshore Wind Roses: Maryland,"{""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/01b891ede4c34c828cf77926b40f9973_4"",""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/01b891ede4c34c828cf77926b40f9973_4.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://geodata.md.gov/imap/rest/services/UtilityTelecom/MD_OffshoreWindEnergyPlanning/FeatureServer/4""}",,,False,Dataset|Service,State of Maryland,"38.015,-74.685",Maryland,"-75.36,37.6,-74.01,38.43",Maryland
00fad4e5c4914f24ac49f5f9c7c3add3,04a-01,04a-01,Active,False,Imagery and Base Maps|Elevation,3/28/2019,Imagery,MD|MD iMAP|Maryland|LiDAR|Maryland Department of Information Technology|DoIT|Elevation|Cecil|DEM,Image,University of Maryland,ArcGIS Hub,,1/12/2018,"This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov.The County of Cecil Maryland requested delivery of three dimensional classified point cloud and contour data derived from LiDAR (Light Detection and Ranging) technology for the entirety of Cecil County, MD. Remotely sensed, geographically referenced elevation measurements were collected by Axis Geospatial, LLC using airborne LiDAR sensors.Image Service Link: https://lidar.geodata.md.gov/imap/rest/services/Cecil/MD_cecil_dem_ft/ImageServer",https://hub.arcgis.com/datasets/00fad4e5c4914f24ac49f5f9c7c3add3,,2013.0,[2013 TO 2013],2013,Public,,English,"Lidar-Derived Dem In Feet, Maryland Imap: Cecil County, Maryland, 2013","{""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/00fad4e5c4914f24ac49f5f9c7c3add3"",""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/00fad4e5c4914f24ac49f5f9c7c3add3"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://lidar.geodata.md.gov/imap/rest/services/Cecil/MD_cecil_dem_ft/ImageServer""}",,,False,Image|Service,State of Maryland,"39.545,-75.995",Maryland,"-76.23,39.36,-75.76,39.73","Cecil County, Maryland|Maryland"
00d326f1705e406fa7f345a764cee57f_1,04a-01,04a-01,Active,False,Biota,3/28/2019,Shapefile,biota|environment|shellfish|oysters|sea scallop|MD|Maryland|MD iMAP|WMS|WFS|Vector|Dynamic|BIOT|Chesapeake|Coastal Bays|KML,Vector,University of Maryland,ArcGIS Hub,,2/8/2016,This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov.Spatial file containing polygon information for oyster repletion activities conducted by Maryland DNR between 1958 and 1999.Feature Service Link:https://geodata.md.gov/imap/rest/services/Biota/MD_Shellfish/FeatureServer/1,https://hub.arcgis.com/datasets/00d326f1705e406fa7f345a764cee57f_1,,2016.0,[2016 TO 2016],2016,Public,,English,Shellfish - Historic Oyster Plantings: Maryland,"{""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/00d326f1705e406fa7f345a764cee57f_1"",""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/00d326f1705e406fa7f345a764cee57f_1.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://geodata.md.gov/imap/rest/services/Biota/MD_Shellfish/FeatureServer/1""}",,,False,Dataset|Service,State of Maryland,"38.575,-76.37",Maryland,"-77.04,37.91,-75.7,39.24","Calvert County, Maryland|Caroline County, Maryland|Dorchester County, Maryland|St. Mary's County, Maryland|Talbot County, Maryland|Maryland"
e239a4183e0249afa53c690049407974,04a-01,04a-01,Active,False,Elevation|Imagery and Base Maps,4/14/2019,Raster Dataset,,Raster,University of Maryland,ArcGIS Hub,,3/18/2019,"Montgomery and Prince George's counties project called for the Planning, Acquisition, processing and derivative products of lidar data to be collected at a nominal pulse spacing (NPS) of 0.7 meter. Project specifications are based on the U.S. Geological Survey National Geospatial Program Base Lidar Specification, Version 1.2. The data was developed based on a horizontal projection/datum of NAD83 (HARN), State Plane, Feet and vertical datum of NAVD88 (GEOID12B), Feet. Lidar data was delivered as processed Classified LAS 1.4 files, formatted to 1,413 individual 4000 ft x 6000 ft tiles, as tiled Intensity Rasters, and as tiled bare-earth DEM; all tiled to the same 4000 ft x 6000 ft schema. Ground Conditions: Lidar was collected in early to mid 2018, while no snow was on the ground and rivers were at or below normal levels. Sensor errors in mulitple locations were identified in processing, additonal acquisition on 7/20/2018 was completed to remedy the errors. 2016 lidar data was used with approval in a single area of restricted airspace. In order to post process the lidar data to meet task order specifications and meet ASPRS vertical accuracy guidelines, Sanborn Map Company, Inc. established a total of 23 ground control points that were used to calibrate the lidar to known ground locations established throughout the project area. An additional 79 independent accuracy check points in Open Terrain and Urban landcovers were used to assess the vertical accuracy of the data. These check points were not used to calibrate or post process the data. This is a MD iMAP hosted service.",https://hub.arcgis.com/datasets/e239a4183e0249afa53c690049407974,,2018.0,[2018 TO 2018],2018,Public,Maryland LiDAR Prince Georges County - DEM Feet,English,"LiDAR Elevation Datasets, DEM Feet: Prince George's County, Maryland, 2018","{""http://schema.org/url"":""https://data.imap.maryland.gov/datasets/e239a4183e0249afa53c690049407974"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://lidar.geodata.md.gov/imap/rest/services/PrinceGeorges/MD_princegeorges_dem_ft/ImageServer""}",,,False,Service,State of Maryland,"38.835,-76.88","Prince George's County, Maryland|Maryland","-77.1,38.52,-76.66,39.15",Maryland
01508bb4445d4162987834f760d2f65d,04a-01,04a-01,Active,False,Imagery and Base Maps,10/11/2019,Imagery,Depth Grid|Flooding|Flood|High Water|Model|Flood Depth Grid|Statewide|Maryland|MD|Maryland Department of Transportation|MDOT|Maryland Department of Transportation State Highway Administration|MDOT SHA|MDOT SHA Office of Planning & Preliminary Engineering|OPPE|Climate|Climate Change|NOAA|USGS|Salisbury University|ESRGC|USACE|2050|Mean Sea Level|MSL|Annual Chance Event|Event Scenario|0.2% Annual Chance|0.2%|500 Year Storm|500YR Storm|500-Year Storm,Image,University of Maryland,ArcGIS Hub,,10/8/2019,"ArcGIS Online (AGOL) Feature Layer which includes the MDOT SHA 2050 Mean Sea Level 0.2% Annual Chance (500YR Storm) - Depth Grid geospatial data product.MDOT SHA 2050 Mean Sea Level 0.2% Annual Chance (500YR Storm) - Depth Grid consists of a depth grid image service depicting conditions of sea level change based on the 0.2% annual chance event (500-Year Storm) scenario for coastal areas throughout the State of Maryland in year 2050. This data product supports Maryland Department of Transportation State Highway Administration (MDOT SHA) leadership and planners as they endeavor to mitigate or prevent the impacts of sea level change resulting from land surface subsidence and rising sea levels.MDOT SHA 2050 Mean Sea Level 0.2% Annual Chance (500YR Storm) - Depth Grid data was produced as a result of efforts by the Maryland Department of Transportation State Highway Administration (MDOT SHA), Eastern Shore Regional GIS Cooperative (ESRGC), Salisbury University (SU), United States Corps of Engineers (USACE), National Oceanic Atmospheric Administration (NOAA), and the United States Geological Survey (USGS). The US Army Corps of Engineers provide the sea level change estimate. Sea level change is localized using water elevations collected from a qualifying National Oceanic and Atmospheric Administration (NOAA) tidal reference station - NOAA observations are transformed from tidal datum to North American Vertical Datum of 1988. A final correction for glacial isostatic adjustment and land creates an sea level change value for the official project year, 2050.MDOT SHA 2050 Mean Sea Level 0.2% Annual Chance (500YR Storm) - Depth Grid data was task-based, and will only be updated on an As-Needed basis where necessary.Last Updated: 10/07/2019For additional information, contact the MDOT SHA Geospatial Technologies:Email: GIS@mdot.maryland.govFor information related to the data, visit the Eastern Shore Regional GIS Cooperative (ESRGC) websiteWebsite: https:www.esrgc.org/mapServices/For additional data, visit the MDOT GIS Open Data Portal:Website: https://data.imap.maryland.gov/pages/mdot/For additional information related to the Maryland Department of Transportation (MDOT):Website: https://www.mdot.maryland.gov/For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):Website: https://www.roads.maryland.gov/Home.aspxMDOT SHA Geospatial Data Legal Disclaimer:The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.",https://hub.arcgis.com/datasets/01508bb4445d4162987834f760d2f65d,,2050.0,[2050 TO 2050],2050,Public,MDOT SHA 2050 Mean Sea Level 0.2% Annual Chance (500YR Storm) - Depth Grid,English,"Mean Sea Level 0.2% Annual Chance (500YR Storm) - Depth Grid: State of Maryland, 2050","{""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://geoservices.salisbury.edu/arcgis/rest/services/MD_MeanSeaLevel_2050/DepthGrid_0_2_PercentAnnualChance/ImageServer"",""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/01508bb4445d4162987834f760d2f65d""}",,,False,Image|Service,State of Maryland,"38.76,-76.155",Maryland,"-77.27,37.88,-75.04,39.64",Maryland
010446c6941142fdaab7b00a682f8576,04a-01,04a-01,Active,False,Elevation|Imagery and Base Maps,4/14/2019,Raster Dataset,,Raster,University of Maryland,ArcGIS Hub,,3/19/2019,"Montgomery and Prince George's counties project called for the Planning, Acquisition, processing and derivative products of lidar data to be collected at a nominal pulse spacing (NPS) of 0.7 meter. Project specifications are based on the U.S. Geological Survey National Geospatial Program Base Lidar Specification, Version 1.2. The data was developed based on a horizontal projection/datum of NAD83 (HARN), State Plane, Feet and vertical datum of NAVD88 (GEOID12B), Feet. Lidar data was delivered as processed Classified LAS 1.4 files, formatted to 1,413 individual 4000 ft x 6000 ft tiles, as tiled Intensity Rasters, and as tiled bare-earth DEM; all tiled to the same 4000 ft x 6000 ft schema. Ground Conditions: Lidar was collected in early to mid 2018, while no snow was on the ground and rivers were at or below normal levels. Sensor errors in mulitple locations were identified in processing, additonal acquisition on 7/20/2018 was completed to remedy the errors. 2016 lidar data was used with approval in a single area of restricted airspace. In order to post process the lidar data to meet task order specifications and meet ASPRS vertical accuracy guidelines, Sanborn Map Company, Inc. established a total of 23 ground control points that were used to calibrate the lidar to known ground locations established throughout the project area. An additional 79 independent accuracy check points in Open Terrain and Urban landcovers were used to assess the vertical accuracy of the data. These check points were not used to calibrate or post process the data. This is a MD iMAP hosted service.",https://hub.arcgis.com/datasets/010446c6941142fdaab7b00a682f8576,,2018.0,[2018 TO 2018],2018,Public,Maryland LiDAR Montgomery County - Aspect,English,"LiDAR Elevation Datasets, Aspect: Montgomery County, Maryland, 2018","{""http://schema.org/url"":""https://data.imap.maryland.gov/datasets/010446c6941142fdaab7b00a682f8576"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://lidar.geodata.md.gov/imap/rest/services/Montgomery/MD_montgomery_aspect_m/ImageServer""}",,,False,Service,State of Maryland,"39.15,-77.22","Montgomery County, Maryland|Maryland","-77.55,38.93,-76.89,39.37",Maryland
018ba84d23a546e6a7db931eab2fa86d_74,04a-01,04a-01,Active,False,Environment,3/28/2019,Shapefile,MD|Maryland|MD iMAP|environment|ENVL|DNR|Maryland Department of Natural Resources|vector|dynamic|WMS|WFS|Maryland Environmental Trust|MET|protected lands,Vector,University of Maryland,ArcGIS Hub,,5/11/2017,"This is a MD iMAP hosted service. Find more information on http://imap.maryland.gov.The Maryland Environmental Trust (MET) is a statewide local land trust governed by a citizen Board of Trustees. Since its creation by the General Assembly in 1967, MET's main goal is the preservation of open land, such as farmland, forest land, and significant natural resources. The primary tool for doing this is the conservation easement, a voluntary agreement between a landowner and the MET Board of Trustees. Feature Service Link: https://archive.geodata.md.gov/imap/rest/services/Environment/MD_ArchivedProtectedLandsAcquisitions/FeatureServer/74",https://hub.arcgis.com/datasets/018ba84d23a546e6a7db931eab2fa86d_74,,2016.0,[2016 TO 2016],2016,Public,,English,Archived Protected Lands Acquisitions - Environmental Trust 2016 Land Acquisitions General: Maryland,"{""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/018ba84d23a546e6a7db931eab2fa86d_74"",""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/018ba84d23a546e6a7db931eab2fa86d_74.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://archive.geodata.md.gov/imap/rest/services/Environment/MD_ArchivedProtectedLandsAcquisitions/FeatureServer/74""}",,,False,Dataset|Service,State of Maryland,"38.89,-76.615",Maryland,"-77.64,38.1,-75.59,39.68",Maryland
018057c7edaa416cb0a13737a402d464_92,04a-01,04a-01,Active,False,Environment,5/29/2019,Shapefile,,Vector,University of Maryland,ArcGIS Hub,,5/1/2019,"The Rural Legacy Program provides the focus and funding necessary to protect large, contiguous tracts of land and other strategic areas from sprawl development and to enhance natural resource, agricultural, forestry and environmental protection through cooperative efforts among state and local governments and land trusts. Protection is provided through the acquisition of easements and fee estates from willing landowners and the supporting activities of Rural Legacy Sponsors and local governments.This file consists of properties that have been protected using Rural Legacy funds. In the case of a project with multiple parcels, the Identify results will indicate the total acreage and BPW amount for the project. Hence, you will see the same acreage, BPW amount and TEA result for each part of the project.This is a MD iMAP hosted service. Find more information on?https://imap.maryland.gov.Feature Service Link:?https://archive.geodata.md.gov/imap/rest/services/Environment/MD_ArchivedProtectedLandsAcquisitions/FeatureServer/92",https://hub.arcgis.com/datasets/018057c7edaa416cb0a13737a402d464_92,,,[2019 TO 2019],2019,Public,,English,Maryland Archived Protected Lands Acquisitions - Rural Legacy 2018 Land Acquisitions General,"{""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/018057c7edaa416cb0a13737a402d464_92"",""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/018057c7edaa416cb0a13737a402d464_92.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://archive.geodata.md.gov/imap/rest/services/Environment/MD_ArchivedProtectedLandsAcquisitions/FeatureServer/92""}",,,False,Dataset|Service,State of Maryland,"38.915,-77.115",Maryland,"-78.93,38.12,-75.3,39.71",Maryland
0180289d595a492e8db6834539758c5f_0,04a-01,04a-01,Active,False,Boundaries,3/28/2019,Shapefile,Election|Boundaries|Congress|Congressional Districts|2011|2012|Redistricting|House of Representatives|Legislature|MDP|Vector|Dynamic|Maryland|MD iMAP|WMS|WFS|KML,Vector,University of Maryland,ArcGIS Hub,,2/9/2016,This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov.Polygon layer contains the 2011 United States Congressional Districts in the State of Maryland.Feature Service Link:https://geodata.md.gov/imap/rest/services/Boundaries/MD_ElectionBoundaries/FeatureServer/0,https://hub.arcgis.com/datasets/0180289d595a492e8db6834539758c5f_0,,2011.0,[2011 TO 2011],2011,Public,,English,Election Boundaries - Us Congressional Districts 2011: Maryland,"{""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/0180289d595a492e8db6834539758c5f_0"",""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/0180289d595a492e8db6834539758c5f_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://geodata.md.gov/imap/rest/services/Boundaries/MD_ElectionBoundaries/FeatureServer/0""}",,,False,Dataset|Service,State of Maryland,"38.805,-77.24",Maryland,"-79.49,37.89,-74.99,39.72",Maryland
0048ff48c397469dbb1c2f48fd8d0068_0,04a-01,04a-01,Active,False,Transportation,11/10/2019,Shapefile,Know Your Roads|MDOT|SHA|Maryland|MDTA|Roads|Maintenance|Roadway|Road|Transportation|Traffic|Infrastructure,Vector,University of Maryland,ArcGIS Hub,,10/18/2019,"This data was developed in response to citizens road maintenance requests from across the state as to whom to contact as the official maintenance authority - be it MDOT State Highway Administration, MDOT Transportation Authority, a county, or a municipality.MDOT SHA Website",https://hub.arcgis.com/datasets/0048ff48c397469dbb1c2f48fd8d0068_0,,2019.0,[2019 TO 2019],2019,Public,National Park Service Maintained Roads,English,"Maintained Roads: National Park Service, Maryland","{""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/0048ff48c397469dbb1c2f48fd8d0068_0"",""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/0048ff48c397469dbb1c2f48fd8d0068_0.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/National_Park_Service_Maintained_Roads/FeatureServer/0""}",,,False,Dataset|Service,State of Maryland,"38.845,-77.26",Maryland,"-79.51,37.94,-75.01,39.75",Maryland
