Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,Slug,Identifier,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,Condominium Points,"SEMCOG maintains three separate data layers that represent information on built structures in Southeast Michigan: building footprints, building points, and condominium points. The Building Footprints were the first dataset collected. These were originally developed by using heads-up digitizing to trace the outlines of buildings in 2010 aerial photography. This process was repeated later using 2015 and 2019 imagery. Due to differences in spatial accuracy between the 2010 and later imagery sources, footprint polygons delineated using 2010 aerial photography may appear slightly shifted compared with imagery that is more recent. This dataset is current as of April 2019, and contains only three attributes: the unique building identifier, median height and the source of the footprint polygon. The Building Points dataset is a point layer representing a single point, at the center of the structure, for each building in Southeast Michigan as of April 2020. For buildings with an associated footprint polygon, the building point represents the centroid of the polygon. For newer structures, a point is placed at the approximate center of the structure as shown in recent imagery, as no footprint polygon yet exists. Since it is the building points that represent our most current universe of buildings in the region, this is the dataset on which we store the associated attributes of a building, mainly location and physical characteristics obtained from local assessing data and other sources. The Condominium Points dataset is also a point layer, with each point representing an attached condominium unit located within a building. Unlike site condominiums, attached condominiums are by definition only a portion of a single building, but as each unit can be individually owned they need to be tracked independently. To ensure an accurate match between condominium points and the building in which they are located, the condominium points are placed on the building centroid, and do not represent the actual physical location of the unit.Building AttributesAs stated above, SEMCOG maintains building attributes on the building points data layer. The condominium points and building footprints data layers have only a small subset of these attributes. Table B.1 list the current attributes of the buildings dataset:Table B.1Buildings Dataset AttributesFIELDTYPEDESCRIPTIONBUILDING_IDLong IntegerUnique identification number assigned to each building.PARCEL_IDLong IntegerIdentification number of the parcel on which the building is located.BUILD_TYPEIntegerBuilding type. Please see page three for a detailed description of the types.CITY_IDIntegerIdentification number of the municipality, or for Detroit, master plan neighborhood, in which the building is located.APNVarchar(24)Tax assessing parcel number of the parcel on which the building is located.RES_SQFT 3Long IntegerSquare footage devoted to residential use. NONRES_SQFT 3Long IntegerSquare footage devoted to nonresidential activity.YEAR_BUILTIntegerYear structure was built. A value of 0 indicates the year built is unknown.DEMOLISHEDDateDate structure was demolished. Buildings existing in 2010 but since demolished are maintained in the master file.HOUSING_UNITSIntegerNumber of residential housing units in the building.STORIESFloat(5.2)Number of stories. For single-family residential this number is expressed in quarter fractions from 1 to 3 stories: 1.00, 1.25, 1.50, etc.LOADD1Long IntegerStreet number, or lowest number for an address range.HIADD1Long IntegerHighest street number for an address range. A value of 0 indicates a single address for the building.STREET1Varchar(32)Street name on which the building is located.LOADD2Long IntegerStreet number, or lowest number for an address range, of second street address.HIADD2Long IntegerHighest street number for an address range, of second street address. A value of 0 indicates a single second address for the building.STREET2Varchar(32)Street name on which the building is located, of second street address.ZIPCODEVarchar(5)USPS postal code for the building address.AKAVarchar(40)Alternate name or business name of the structure, if known.GQCAPIntegerMaximum number of group quarters residents, if any.CONDO_ID 1Long IntegerUnique identification record assigned to each condominium record.MEDIAN_HGT 2IntegerMedian height of the building from LiDAR surveys, NULL if unknown.SOURCE 2Varchar(10)Source of footprint polygon: NEARMAP, OAKLAND, SANBORN or SEMCOG.1. Attribute only in the Condominium Points layer. 2. Attribute only in the Building Footprints layer.3. Square footage evenly divisible by 100 is an estimate, based on size and/or type of building, if the true value is unknown. Building TypesSEMCOG's building types are based on the 2017 North American Industrial Classification System (NAICS). This system classifies establishments based on economic activity, is widely accepted by the planning community, and used by SEMCOG in developing its long-range socioeconomic forecasts. Each of the 22 nonresidential building types represent one or more entire 3-digit NAICS sector groupings, except for five special types of building that do not fit within this system. These specific types of activity (movie theaters, libraries, dormitories, funeral services, and parking garages) have land use and trip generation characteristics that are different from the other types of activity in their respective NAICS sector and are therefore classified individually. More information on NAICS, including descriptions of the economic activity sectors, can be found at the Census Bureau's NAICS web site. There are also four residential building types, which assist us in tracking housing development over time. Residential types are based on a combination of units in structure, and ownership. Single-family homes and site condominiums typically contain only one unit, but there are traditional duplexes where one owner owns both units, that are also classified as single-family. Attached condo buildings contain two or more housing units in a single building, each of which shares one or more walls with an adjoining unit and can be independently owned. Multi-family housing or apartment buildings contain three or more units, all of which are owned by a single entity and intended as rental units. Figure B.1Distribution of Buildings by Type As seen in Figure B.1, 86.9 percent of all buildings are single-family homes, and only 5.8 percent of buildings are of any nonresidential building type.Mobile homes are a special building type, as we do not receive information on changes to mobile homes in a manufactured housing park through the building permits pipeline. We instead maintain a separate layer of points representing individual mobile homes in parks, updated periodically using imagery to denote if a trailer is still present at each point. Pseudo footprints for these points are generated via code and added to the buildings manually.There are structures that SEMCOG does not classify as buildings. To be considered a building, a structure must contain either a housing unit or a minimum of 250 square feet of nonresidential workspace. Therefore, garages, boathouses, and other accessory structures are not classified as buildings. A description of SEMCOG building types, including the relevant NAICS codes for the type, can be found in Table B.2:Table B.2Building Types by NAICS SectorBUILD TYPEDESCRIPTIONNAICS SECTORSRGB11Educational611190-232-25513Religious and Civic8130-132-16814Governmental921-9280-76-11521Retail Building441-454, 811-812255-190-19023Office Building511-551, 561255-0-031Manufacturing311-339194-158-21532Wholesale Trade423-425170-102-20533Warehouse and Storage493112-68-13741Transportation and Utility221, 481-488, 562204-204-20442Delivery Services491-492156-156-15651Health and Social Services621, 624214-157-18852Hospital622245-122-18253Residential Care Facility623137-68-10161Leisure Activity711-713137-205-10263Hotel and Motel721209-255-11565Eating and Drinking72285-255-071Agricultural111-213255-255-081Single-Family HousingResidential255-211-12782Attached Condo BuildingResidential230-152-083Multi-Family ApartmentResidential137-112-6884Mobile HomeResidential137-68-6891Movie Theater51213168-0-092Library519120-197-25593Dormitory Quarters7213192-137-6894Funeral Services81220255-127-12795Parking Garage8129378-78-78The RGB color values match SEMCOG's typical map symbology for building types.Relationship between Buildings LayersCounty land parcel layers are used to assign the unique APN (Assessor Parcel Number), as well as parcel identifier, to each structure located on a parcel by means of spatial intersection between the parcels and buildings layers. However, there are counties which do not represent parcel splits in their parcel layer when large vacant parcels are developed into single-family subdivisions. In these cases, the polygon geometry of the original parent parcel is cloned once for each new child parcel. A geospatial intersection of buildings to parcels in this situation would lead to each building in the subdivision being assigned to whichever parcel polygon happened to be sitting on top of the stack of cloned parcels. In these cases we use other sources, such as building permits and developer site plans, to identify the APN of each new building, and then assign the parcel identifier by finding the land parcel with that APN. Figure B.2Primary Key Relationship of Buildings LayersLand ParcelsBuilding FootprintsBuilding PointsCondominium Pointsparcel_id (unique) ----->parcel_id --------------->parcel_id --------------->parcel_idbuilding_id (unique) --->building_id (unique) --->building_idAPN (unique) ---------->APN -------------------->APN -------------------->APN (unique)condo_id (unique)The APN and parcel identifier are passed to each building on a parcel, with each building assigned a unique building identifier. Since building points are the centroid of building footprints, they share the same building identifier as they reference the same structure. Condominium records are assigned a unique condo identifier, and also the building identifier of the structure they are located within. By this process, each layer has a unique identifier, and can be related to the larger parent geography as needed.Last Update: 01/05/2021",English,Southeast Michigan Council of Governments,State of Michigan,Geospatial data,,Condominiums|BuildingFootprints|Buildings|Condos,2020-06-24T15:39:49.000Z,,,,Michigan,"-84.0775,41.7181,-82.4174,43.1329",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/a7a87f76d667497e86321812dd18808f_0,https://gis-michigan.opendata.arcgis.com/datasets/a7a87f76d667497e86321812dd18808f_0.zip,,https://services1.arcgis.com/xUx8EjNc6egUPYWh/arcgis/rest/services/land_gisview_terra_condos_2020/FeatureServer/0,,a7a87f76d667497e86321812dd18808f_0,https://hub.arcgis.com/datasets/a7a87f76d667497e86321812dd18808f_0,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Mdot2021To2025FytpRoad,"The 2021-2025 Five-Year Transportation Program (5YTP) is intended to present MDOT's planned investments across all modes as early in the planning process as possible to support successful program delivery, encourage local coordination, and guarantee opportunities for meaningful public engagement.https://www.michigan.gov/mdot/0,4616,7-151-9621_14807_14810_59639---,00.html",English,Michigan Department of Transportation,State of Michigan,Geospatial data,,5yp|Five|Year|Transportation|Program|Plan|5YTP|Road|Bridge|2021|2025,2021-01-22T20:03:43.000Z,,,,Michigan,"-90.0790,41.7264,-82.4234,47.1219",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/fe03b9fce31843c996bfb709cafe6b99_1,https://gis-michigan.opendata.arcgis.com/datasets/fe03b9fce31843c996bfb709cafe6b99_1.zip,,https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/MdotFiveYearTransportationProgram2021To2025/FeatureServer/1,,fe03b9fce31843c996bfb709cafe6b99_1,https://hub.arcgis.com/datasets/fe03b9fce31843c996bfb709cafe6b99_1,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Mdot2021To2025FytpBridge,"The 2021-2025 Five-Year Transportation Program (5YTP) is intended to present MDOT's planned investments across all modes as early in the planning process as possible to support successful program delivery, encourage local coordination, and guarantee opportunities for meaningful public engagement.https://www.michigan.gov/mdot/0,4616,7-151-9621_14807_14810_59639---,00.html",English,Michigan Department of Transportation,State of Michigan,Geospatial data,,5yp|Five|Year|Transportation|Program|Plan|5YTP|Road|Bridge|2021|2025,2021-01-22T20:03:43.000Z,,,,Michigan,"-90.0792,41.7472,-82.4364,46.8484",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/fe03b9fce31843c996bfb709cafe6b99_0,https://gis-michigan.opendata.arcgis.com/datasets/fe03b9fce31843c996bfb709cafe6b99_0.zip,,https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/MdotFiveYearTransportationProgram2021To2025/FeatureServer/0,,fe03b9fce31843c996bfb709cafe6b99_0,https://hub.arcgis.com/datasets/fe03b9fce31843c996bfb709cafe6b99_0,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Great Lakes Stream Crossing Survey,"This feature class is an inventory of stream crossings, culverts, and bridges in the Great Lakes Region. Data gathered and contained in this feature class is based on the Great Lakes Stream Crossing Inventory Protocol.",English,Michigan Department of Natural Resources,State of Michigan,Geospatial data,,Stream|Crossing|Survey|Culvert|Bridge|Ford|Road|Trail|DNR|GreatLakes,2021-01-26T23:14:27.000Z,,,,Michigan,"-92.1549,41.6933,-83.0867,47.2547",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_0,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_0.zip,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Great_Lakes_Stream_Crossing_Inventory_Viewer/FeatureServer/0,,ec8e015cb6d941db94d1c963d1355526_0,https://hub.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_0,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,MorphologicalSummary,"This feature class is an inventory of stream crossings, culverts, and bridges in the Great Lakes Region. Data gathered and contained in this feature class is based on the Great Lakes Stream Crossing Inventory Protocol.",English,Michigan Department of Natural Resources,State of Michigan,Geospatial data,,Stream|Crossing|Survey|Culvert|Bridge|Ford|Road|Trail|DNR|GreatLakes,2021-01-26T23:14:27.000Z,,,,Michigan,"-85.7683,41.9804,-84.7161,46.2011",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_1,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_1.zip,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Great_Lakes_Stream_Crossing_Inventory_Viewer/FeatureServer/1,,ec8e015cb6d941db94d1c963d1355526_1,https://hub.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_1,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,AdditionalRepresentativeReachTable,"This feature class is an inventory of stream crossings, culverts, and bridges in the Great Lakes Region. Data gathered and contained in this feature class is based on the Great Lakes Stream Crossing Inventory Protocol.",English,Michigan Department of Natural Resources,State of Michigan,Geospatial data,,Stream|Crossing|Survey|Culvert|Bridge|Ford|Road|Trail|DNR|GreatLakes,2021-01-26T23:14:27.000Z,,,,Michigan,"-90.9259,46.3988,-90.8258,46.4143",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_2,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_2.zip,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Great_Lakes_Stream_Crossing_Inventory_Viewer/FeatureServer/2,,ec8e015cb6d941db94d1c963d1355526_2,https://hub.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_2,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,BankErosionLocations,"This feature class is an inventory of stream crossings, culverts, and bridges in the Great Lakes Region. Data gathered and contained in this feature class is based on the Great Lakes Stream Crossing Inventory Protocol.",English,Michigan Department of Natural Resources,State of Michigan,Geospatial data,,Stream|Crossing|Survey|Culvert|Bridge|Ford|Road|Trail|DNR|GreatLakes,2021-01-26T23:14:27.000Z,,,,Michigan,"-180.0000,-90.0000,180.0000,90.0000",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_3,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_3.zip,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Great_Lakes_Stream_Crossing_Inventory_Viewer/FeatureServer/3,,ec8e015cb6d941db94d1c963d1355526_3,https://hub.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_3,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,RapidChannelAssessmentForm,"This feature class is an inventory of stream crossings, culverts, and bridges in the Great Lakes Region. Data gathered and contained in this feature class is based on the Great Lakes Stream Crossing Inventory Protocol.",English,Michigan Department of Natural Resources,State of Michigan,Geospatial data,,Stream|Crossing|Survey|Culvert|Bridge|Ford|Road|Trail|DNR|GreatLakes,2021-01-26T23:14:27.000Z,,,,Michigan,"-180.0000,-90.0000,180.0000,90.0000",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_4,https://gis-michigan.opendata.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_4.zip,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Great_Lakes_Stream_Crossing_Inventory_Viewer/FeatureServer/4,,ec8e015cb6d941db94d1c963d1355526_4,https://hub.arcgis.com/datasets/ec8e015cb6d941db94d1c963d1355526_4,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Former Enterprise Zones,,English,"Montgomery County, MD","Montgomery County, Maryland",Geospatial data,,FormerEnterpriseZones|MCGGisOpenDataProperties,2021-01-22T21:54:34.000Z,,,,"Montgomery County, Maryland|Maryland","-77.0363,38.9797,-77.0201,39.0004",Dataset|Service,Vector,Shapefile,https://data2018-mcgov-gis.opendata.arcgis.com/datasets/20c35e56a03842e192d66b014caf3426_0,https://data2018-mcgov-gis.opendata.arcgis.com/datasets/20c35e56a03842e192d66b014caf3426_0.zip,https://gis4.montgomerycountymd.gov/arcgis/rest/services/general/former_ent_zones/MapServer/0,,,20c35e56a03842e192d66b014caf3426_0,https://hub.arcgis.com/datasets/20c35e56a03842e192d66b014caf3426_0,University of Maryland,04b-24031,04b-24031,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Arts Entertainment Districts,,English,"Montgomery County, MD","Montgomery County, Maryland",Geospatial data,,ArtsEntertainmentDistricts|MCGGisOpenDataProperties,2021-01-19T19:33:44.000Z,,,,"Montgomery County, Maryland|Maryland","-77.1022,38.9760,-77.0202,39.0472",Dataset|Service,Vector,Shapefile,https://data2018-mcgov-gis.opendata.arcgis.com/datasets/42f9c2daa9824d3dabd6714e493f2b88_0,https://data2018-mcgov-gis.opendata.arcgis.com/datasets/42f9c2daa9824d3dabd6714e493f2b88_0.zip,https://gis4.montgomerycountymd.gov/arcgis/rest/services/general/arts_ent_districts/MapServer/0,,,42f9c2daa9824d3dabd6714e493f2b88_0,https://hub.arcgis.com/datasets/42f9c2daa9824d3dabd6714e493f2b88_0,University of Maryland,04b-24031,04b-24031,Active,ArcGIS Hub,,Public,,FALSE,FALSE
