Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,Slug,Identifier,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,2018 LiDAR - Hydro Enforced Digital Terrain Model (DTM) - Imagery Service,"Hydro Enforced DTMThe hydro-flattened bare earth DEM was generated using the 2018 DC lidar bare earth points and 3D hydro breaklines to a resolution of 1 m. The bare earth points that fell within 1NPS along the hydro breaklines were excluded from the DEM generation process and put into class 20 - ignored ground. This is analogous to the removal of mass points for the same reason in a traditional photogrammetrically compiled DTM. This process was done in batch using proprietary software. The technicians then used proprietary software for the production of the lidar-derived hydro-flattened bare earth DEM surface in initial grid format at 1 m GSD. Water bodies (inland ponds and lakes), inland streams and rivers, and island holes were hydro-flattened within the DEM. Once the initial, hydro-flattened bare earth DEM was generated, the tiles were checked to ensure that the grid spacing met specifications. The surface was also checked to ensure proper hydro-flattening.",English,"City of Washington, DC","Washington, District of Columbia",Aerial imagery,,DC|ImageService|Raster|LiDAR|2018|DTM|DigitalTerrianModel,2019-11-06T14:58:06.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1220,38.7855,-76.9007,39.0017",Image|Service,Image,Imagery,https://opendata.dc.gov/datasets/288c927005c84e768a57b0212c2700a6,,,,https://imagery.dcgis.dc.gov/dcgis/rest/services/Lidar/Hydro_Enforced_DTM_2018/ImageServer,288c927005c84e768a57b0212c2700a6,https://hub.arcgis.com/datasets/288c927005c84e768a57b0212c2700a6,University of Maryland,04c-01,04c-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,2020 LiDAR - Digital Surface Model - Imagery Service,"Digital Surface Model - 1m resolution. The dataset contains the 1m Digital Surface Model for the District of ColumbiaSome areas have limited data. The lidar dataset redaction was conducted under the guidance of the United States Secret Service. Except for classified ground points and classified water points, all lidar data returns and collected data were removed from the dataset within the United States Secret Service 1m redaction boundary generated for the 2017 orthophoto flight.",English,"City of Washington, DC","Washington, District of Columbia",Aerial imagery,,DC|ImageService|Raster|LiDAR|2020|DSM|DigitalSurfaceModel|imageservice,2021-02-08T20:08:13.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1220,38.7855,-76.9007,39.0017",Image|Service,Image,Imagery,https://opendata.dc.gov/datasets/d1de129aa129486da44a1d85708eb8c3,,,,https://imagery.dcgis.dc.gov/dcgis/rest/services/Lidar/DSM_2020/ImageServer,d1de129aa129486da44a1d85708eb8c3,https://hub.arcgis.com/datasets/d1de129aa129486da44a1d85708eb8c3,University of Maryland,04c-01,04c-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,2020 LiDAR - Normalized Digital Surface Model (nDSM) - Imagery Service,"Normalizd Digital Surface Model - 1m resolution. The dataset contains the 1m Digital Surface Model for the District of Columbia.Some areas have limited data. The lidar dataset redaction was conducted under the guidance of the United States Secret Service. Except for classified ground points and classified water points, all lidar data returns and collected data were removed from the dataset within the United States Secret Service 1m redaction boundary generated for the 2017 orthophoto flight",English,"City of Washington, DC","Washington, District of Columbia",Aerial imagery,,DC|ImageService|Raster|LiDAR|2020|nDSM|normalizeddigitalsurfacemodel|DigitalElevationModel(DEM)|DigitalSurfaceModel(DSM)|WashingtonDC|pointcloud|LAS|groundpoints|imagery|dem|dsm|elevation|lidar2020|districtofcolumbia,2021-02-08T19:38:49.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1220,38.7855,-76.9007,39.0017",Image|Service,Image,Imagery,https://opendata.dc.gov/datasets/fa3bb2beff3848b59b24c4c1eb253b37,,,,https://imagery.dcgis.dc.gov/dcgis/rest/services/Lidar/nDSM_2020/ImageServer,fa3bb2beff3848b59b24c4c1eb253b37,https://hub.arcgis.com/datasets/fa3bb2beff3848b59b24c4c1eb253b37,University of Maryland,04c-01,04c-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,2020 LiDAR - Hydro Enforced Digital Terrain Model (DTM) - Imagery Service,"Hydro-Flattened Bare Earth DTM - 1m resolution. The dataset contains the 1m Digital Surface Model for the District of Columbia. Some areas have limited data. The lidar dataset redaction was conducted under the guidance of the United States Secret Service. Except for classified ground points and classified water points, all lidar data returns and collected data were removed from the dataset within the United States Secret Service 1m redaction boundary generated for the 2017 orthophoto flight",English,"City of Washington, DC","Washington, District of Columbia",Aerial imagery,,DC|ImageService|Raster|LiDAR|2020|DTM|DigitalTerrianModel|Hydro|DigitalElevationModel(DEM)|DigitalSurfaceModel(DSM)|WashingtonDC|pointcloud|LAS|groundpoints|imagery|dem|dsm|elevation|Hydrology|lidar2020|districtofcolumbia,2021-02-08T19:59:31.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1220,38.7855,-76.9007,39.0017",Image|Service,Image,Imagery,https://opendata.dc.gov/datasets/2b405ae2b62b4848aa4ac437d7be8511,,,,https://imagery.dcgis.dc.gov/dcgis/rest/services/Lidar/Hydro_Enforced_DTM_2020/ImageServer,2b405ae2b62b4848aa4ac437d7be8511,https://hub.arcgis.com/datasets/2b405ae2b62b4848aa4ac437d7be8511,University of Maryland,04c-01,04c-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,2020 LiDAR - Classified LAS - Imagery Service,"The lidar data are processed classified LAS 1.4 files at USGS QL2 covering the District of Columbia. Some areas have limited data. The lidar dataset redaction was conducted under the guidance of the United States Secret Service. Except for classified ground points and classified water points, all lidar data returns and collected data were removed from the dataset within the United States Secret Service 1m redaction boundary generated for the 2017 orthophoto flight",English,"City of Washington, DC","Washington, District of Columbia",Aerial imagery,,DC|ImageryService|LiDAR|Classified|2020|PointCloud|Raster,2021-02-08T19:13:13.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1220,38.7855,-76.9007,39.0017",Image|Service,Image,Imagery,https://opendata.dc.gov/datasets/8929be75d23a457189593d906374c84c,,,,https://imagery.dcgis.dc.gov/dcgis/rest/services/Lidar/Classified_LAS_2020/ImageServer,8929be75d23a457189593d906374c84c,https://hub.arcgis.com/datasets/8929be75d23a457189593d906374c84c,University of Maryland,04c-01,04c-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,MBG IMG 1955 ra tif,MBG_IMG_1955_ra_tif,English,University of Michigan,University of Michigan,Aerial imagery,,MBGNA,2021-01-25T14:20:25.000Z,,,,"Ann Arbor, Michigan|Michigan","-83.6827,42.2818,-83.6516,42.3150",Image|Service,Image,Imagery,https://mbgna-umich.opendata.arcgis.com/datasets/f24113d342d343fea76fbb771aaedca0,,,,https://arcgis-image.lsa.umich.edu/arcgis/rest/services/MBG_IMG_1955_ra_tif/ImageServer,f24113d342d343fea76fbb771aaedca0,https://hub.arcgis.com/datasets/f24113d342d343fea76fbb771aaedca0,University of Michigan,07d-02,07d-02,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,2010 Aerial Photo,"The dataset consists of tiled orthogonal imagery produced from nadir images captured by Pictometry International during the period of April 10th, 2010 to April 23rd, 2010. Automatic aerial triangulation (AAT) was performed. The triangulated frames were rectified to a Pictometry Produced LiDAR derived DEM. Mosaicing was performed using an automatic seaming algorithm and manually edited to eliminate seams through elevated features where possible. ",English,Milwaukee County GIS & Land Information,Milwaukee County GIS and Land Information,Aerial imagery,,2010|aerial|ortho|orthophoto|Pictometry|photography,2016-07-21T16:37:29.000Z,,,,Milwaukee County,"-88.0804,42.8206,-87.8059,43.1999",Image|Service,Image,Imagery,https://gis-mclio.opendata.arcgis.com/datasets/29b8c6e348f344289bb6206a37fab0bd,,,,https://lio.milwaukeecountywi.gov/arcgis/rest/services/Image_Services/2010_Ortho/ImageServer,29b8c6e348f344289bb6206a37fab0bd,https://hub.arcgis.com/datasets/29b8c6e348f344289bb6206a37fab0bd,University of Wisconsin-Madison,10b-55079,10b-55079,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,1976 Aerial Photo,Image_Services/1976_COLOR,English,Milwaukee County GIS & Land Information,Milwaukee County GIS and Land Information,Aerial imagery,,aerial|photography|ortho|orthophoto|1976|color,2016-07-25T17:03:19.000Z,,,,Milwaukee County,"-88.0021,42.8677,-87.8252,43.1014",Image|Service,Image,Imagery,https://gis-mclio.opendata.arcgis.com/datasets/a0b1a022cbc7455982fa6c624de51c02,,,,https://lio.milwaukeecountywi.gov/arcgis/rest/services/Image_Services/1976_Aerial/ImageServer,a0b1a022cbc7455982fa6c624de51c02,https://hub.arcgis.com/datasets/a0b1a022cbc7455982fa6c624de51c02,University of Wisconsin-Madison,10b-55079,10b-55079,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,1994 Aerial Photo,1995 Aerial Photo Image Service,English,Milwaukee County GIS & Land Information,Milwaukee County GIS and Land Information,Aerial imagery,,photography|aerial|ortho|orthophoto|1994,2016-07-22T18:40:23.000Z,,,,Milwaukee County,"-88.0751,42.8427,-87.7834,43.1905",Image|Service,Image,Imagery,https://gis-mclio.opendata.arcgis.com/datasets/f08ac89177d94c8ab7f953b6a47dc9a5,,,,https://lio.milwaukeecountywi.gov/arcgis/rest/services/Image_Services/1995_Ortho/ImageServer,f08ac89177d94c8ab7f953b6a47dc9a5,https://hub.arcgis.com/datasets/f08ac89177d94c8ab7f953b6a47dc9a5,University of Wisconsin-Madison,10b-55079,10b-55079,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,2007 Aerial Photo,Image_Services/2007_COLOR,English,Milwaukee County GIS & Land Information,Milwaukee County GIS and Land Information,Aerial imagery,,2007|aerial|photo|photography|ortho|orthophoto,2016-12-02T15:47:06.000Z,,,,Milwaukee County,"-88.0804,42.8206,-87.8059,43.1999",Image|Service,Image,Imagery,https://gis-mclio.opendata.arcgis.com/datasets/7473db64c98c4b0fa2b1cc10cf8290c1,,,,https://lio.milwaukeecountywi.gov/arcgis/rest/services/Image_Services/2007_Ortho/ImageServer,7473db64c98c4b0fa2b1cc10cf8290c1,https://hub.arcgis.com/datasets/7473db64c98c4b0fa2b1cc10cf8290c1,University of Wisconsin-Madison,10b-55079,10b-55079,Active,ArcGIS Hub,,Public,,FALSE,FALSE
